id,book_id,name,author_id,author_name,rank
298,1239340,魔女霓裳（gl）,536431,八千岁,21.6446
299,1796886,玉楼春,544211,清歌一片,21.618
300,1444124,一球成名,412835,摇曳菡萏,21.5017
301,587337,富贵荣华,132648,阿豆,21.498
302,133362,怜香惜玉录（穿越版）,31131,十四郎,21.4287
303,602971,红了樱桃，绿了芭蕉,165528,扫雪煮茶,21.4227
304,1478839,养父,391566,水千丞,21.3984
305,193424,执手千年,121318,木轩然,21.3807
306,1622141,我的老湿,545893,莲洛,21.3447
307,183509,回溯之旅（轻喜剧）,155509,唐浅,21.3233
308,475664,你敢说你不幸福,171130,忽然之间~,21.3155
309,903661,东方不败之暖阳,321503,月下蝶影,21.3045
310,336053,公子晋阳,199171,吴沉水,21.2353
311,189042,尘沙下的传奇,160702,闷闷的陶罐,21.1971
312,247722,小人路过,207044,饭桶竟然,21.1028
313,589170,[HP]这该死的蛇男,367170,爬行的鱼,21.0558
314,1707599,反派邪魅一笑,379620,西子绪,20.9764
315,1659370,针锋对决,391566,水千丞,20.9761
316,1156657,[综漫]史上最强好人卡,88941,响月,20.9288
317,167815,极月无双,141433,焦糖布丁,20.906
318,1131301,一念起,186461,明月珰,20.9023
319,1774380,宫略,934453,尤四姐,20.8918
320,601482,十字夜（无限恐怖同人）,113163,雨天的海,20.8457
321,1668390,两世软饭,901567,风中蝴蝶,20.8436
322,66006,深宫风云之铿锵玫瑰,53076,舟洲,20.8378
323,143964,不疯魔不成活,75910,微笑的猫,20.8215
324,1477533,重生发小,349016,茶树菇,20.8045
325,288921,你是我学生又怎样,231173,田反,20.7986
326,85369,龙王界,67460,花落满庭芳(花小月),20.7471
327,260458,池中物,205830,那只狐狸,20.7415
328,944515,hp之报应来得快,560439,若一一,20.6761
329,1713590,锦屏春暖,129294,欣欣向荣,20.6738
330,373867,[火影+猎人]宇智波月,279343,朵梨,20.6505
331,521008,[HP]从零开始,107131,雾容,20.6112
332,177797,猎人同人－幻莲,150410,冰飞舞蝶,20.5148
333,348151,绝爱云端（原名：被弃的新娘）,246696,益竟桐,20.4846
334,363580,网王穿越之我是伊武深司,273573,乌衣祭,20.4841
335,215630,芙殇,186461,明月珰,20.4707
336,1256194,荆棘后冠,115569,狂言千笑,20.4649
337,153766,失踪的王妃,128043,赤冰,20.4029
338,232145,吹不散眉弯,200525,安宁,20.3565
339,280048,鹤唳华亭,225737,雪满梁园,20.3559
340,270490,七娘（穿越之前缘误）,220986,一梦白头,20.3513
341,581344,HP-黑色灰色,380743,虎半莲,20.3487
342,349523,初情似情（实体版）,171025,李李翔,20.3093
343,421704,随云莫离 (楚留香同人),310188,霄环佩,20.2935
344,2602,鹊桥相会（以前写的恶搞）,3243,顾漫,20.283
345,765784,流光系列番外,325041,长着翅膀的大灰狼,20.2812
346,181060,续步步惊心下,121114,玉朵朵,20.2719
347,602476,水色胭脂,400938,黎昕,20.2621
348,796097,一片伤心画不成（穿越）,491631,韩亚,20.2505
349,1526082,心有不甘,844192,随侯珠,20.2448
350,1459087,穿越之贤妻守则,808038,莫衣紫,20.2084
351,1361819,宅男奋斗史[天是红河岸],397023,铂金色,20.1755
352,762176,通眅夜灯,333457,鲨鱼子,20.1739
353,1013969,（HP）不着调的救世主,66969,thaty,20.1529
354,13994,芙蓉簟,14661,匪我思存,20.1417
355,1506869,红楼之林家有子,716239,青梅如豆,20.1322
356,1752344,[综]那些炮灰们,570029,笔盈盈的花儿,20.1061
357,291337,皇后出墙记,172582,桩桩,20.1036
358,90220,逐花,71044,俱全,20.0548
359,218388,地水鸾宫明月姬,98782,桂圆八宝,20.0359
360,1155710,妖孽夫，桃花妻,568347,老郭家的饼饼,19.9649
361,1598197,皇恩荡漾,844192,随侯珠,19.9339
362,562713,应惜艳阳年,139232,自由行走andrea,19.9237
363,731684,还珠之云淡风轻,155601,馨宁,19.9163
364,1177827,远古伊甸,544211,清歌一片,19.9085
365,226178,凤舞苍穹（女尊文）,196645,心愿笺,19.9009
366,134728,不辞冰雪为卿热（清宫）,109191,青木香,19.8885
367,409551,烧错坟，遇到鬼,279544,余暖人生,19.8749
368,136900,一片冰心在玉壶,93108,蓝色狮,19.8528
